location,total_sqft,bath,price,bhk
1ST PHASE JP NAGAR,1875.0,3,167.0,3
1ST PHASE JP NAGAR,1590.0,3,131.0,3
1ST PHASE JP NAGAR,1566.0,2,180.0,2
1ST PHASE JP NAGAR,2065.0,4,210.0,3
1ST PHASE JP NAGAR,1394.0,2,85.0,2
1ST PHASE JP NAGAR,1077.0,2,93.0,2
1ST PHASE JP NAGAR,2077.0,3,175.0,3
1ST PHASE JP NAGAR,1394.0,2,100.0,2
1ST PHASE JP NAGAR,1180.0,2,88.5,2
1ST PHASE JP NAGAR,1200.0,2,86.0,2
1ST PHASE JP NAGAR,840.0,2,50.0,1
1ST PHASE JP NAGAR,900.0,2,75.0,2
1ST PHASE JP NAGAR,2180.0,3,210.0,3
2ND STAGE NAGARBHAVI,1350.0,4,200.0,4
2ND STAGE NAGARBHAVI,1200.0,4,225.0,4
2ND STAGE NAGARBHAVI,1500.0,4,220.0,4
5TH PHASE JP NAGAR,1190.0,2,61.8,2
5TH PHASE JP NAGAR,4000.0,5,170.0,5
5TH PHASE JP NAGAR,1440.0,2,60.0,2
5TH PHASE JP NAGAR,1700.0,2,100.0,3
5TH PHASE JP NAGAR,1256.0,2,62.8,2
5TH PHASE JP NAGAR,1400.0,2,88.0,3
5TH PHASE JP NAGAR,2500.0,5,110.0,5
5TH PHASE JP NAGAR,1030.0,2,57.0,2
5TH PHASE JP NAGAR,1150.0,3,52.5,2
5TH PHASE JP NAGAR,1010.0,2,57.0,2
5TH PHASE JP NAGAR,1207.0,2,63.0,2
5TH PHASE JP NAGAR,1390.0,2,65.0,2
5TH PHASE JP NAGAR,600.0,1,30.0,1
5TH PHASE JP NAGAR,552.0,1,23.5,1
5TH PHASE JP NAGAR,1075.0,2,60.0,2
5TH PHASE JP NAGAR,1350.0,2,75.0,3
5TH PHASE JP NAGAR,1725.0,2,100.0,3
6TH PHASE JP NAGAR,2040.0,3,200.0,3
6TH PHASE JP NAGAR,1170.0,2,120.0,2
6TH PHASE JP NAGAR,1140.0,2,65.0,2
6TH PHASE JP NAGAR,2003.0,3,200.0,3
6TH PHASE JP NAGAR,3245.0,4,250.0,4
6TH PHASE JP NAGAR,1216.0,2,60.0,2
6TH PHASE JP NAGAR,1810.0,3,131.0,3
6TH PHASE JP NAGAR,1213.0,2,63.0,2
6TH PHASE JP NAGAR,1192.0,2,74.0,2
6TH PHASE JP NAGAR,1460.0,2,80.0,2
6TH PHASE JP NAGAR,1515.0,2,135.0,3
6TH PHASE JP NAGAR,1192.0,2,75.0,2
7TH PHASE JP NAGAR,1050.0,2,68.0,2
7TH PHASE JP NAGAR,1575.0,2,110.0,3
7TH PHASE JP NAGAR,1000.0,2,53.0,2
7TH PHASE JP NAGAR,1420.0,2,100.0,3
7TH PHASE JP NAGAR,1460.0,2,97.0,3
7TH PHASE JP NAGAR,1680.0,3,130.0,3
7TH PHASE JP NAGAR,1130.0,2,85.0,2
7TH PHASE JP NAGAR,1270.0,2,83.0,2
7TH PHASE JP NAGAR,1976.0,3,145.0,3
7TH PHASE JP NAGAR,2503.0,4,188.0,4
7TH PHASE JP NAGAR,1270.0,2,93.0,2
7TH PHASE JP NAGAR,1050.0,2,71.0,2
7TH PHASE JP NAGAR,1850.0,3,150.0,3
7TH PHASE JP NAGAR,1650.0,3,110.0,3
7TH PHASE JP NAGAR,1130.0,2,73.0,2
7TH PHASE JP NAGAR,1000.0,1,60.0,1
7TH PHASE JP NAGAR,1650.0,3,110.0,3
7TH PHASE JP NAGAR,1050.0,2,77.47,2
7TH PHASE JP NAGAR,1450.0,2,100.0,3
7TH PHASE JP NAGAR,1050.0,2,77.0,2
7TH PHASE JP NAGAR,1765.0,3,118.0,3
7TH PHASE JP NAGAR,1680.0,3,122.0,3
7TH PHASE JP NAGAR,1215.0,2,90.0,2
