location,latitude,longitude
ELECTRONIC CITY PHASE II,12.884327,77.562982
CHIKKA TIRUPATHI,12.96557,77.60625
UTTARAHALLI,12.9055682,77.5455438
LINGADHEERANAHALLI,,
KOTHANUR,12.876432,77.578619
WHITEFIELD,12.99714,77.69691
OLD AIRPORT ROAD,24.621914,73.890873
RAJAJI NAGAR,12.9897745,77.5551014
MARATHAHALLI,12.9552572,77.6984163
GANDHI BAZAR,12.96557,77.60625
7TH PHASE JP NAGAR,12.918551,77.585631
GOTTIGERE,12.859007,77.589022
SARJAPUR,12.920441,77.6653284
MYSORE ROAD,12.891299,77.455776
BISUVANAHALLI,,
RAJA RAJESHWARI NAGAR,12.9269842,77.5111944
RAMAKRISHNAPPA LAYOUT,12.9778951,77.5164792
MANAYATA TECH PARK,12.902774,77.704991
KENGERI,12.928479,77.486718
BINNY PETE,12.970556,77.566304
THANISANDRA,13.062005,77.633336
BELLANDUR,12.93577245,77.66676103753434
 THANISANDRA,13.062005,77.633336
MANGAMMANAPALYA,12.9070833,77.6351607
ELECTRONIC CITY,12.849495,77.664225
RAMAGONDANAHALLI,12.9570641,77.7404124
YELAHANKA,13.1006982,77.5963454
HEBBAL,13.0434496,77.590516
KASTURI NAGAR,12.887209,77.680655
KANAKPURA ROAD,12.88576665,77.55275290187642
ELECTRONICS CITY PHASE 1,12.84018335,77.65945819709654
KUNDALAHALLI,12.9684441,77.7187843
CHIKKALASANDRA,12.9121916,77.5476337
MURUGESHPALYA,12.9589475,77.65559301497998
SARJAPUR  ROAD,12.920441,77.6653284
GANGA NAGAR,13.0232471,77.5883569
HSR LAYOUT,12.916357,77.634936
DODDATHOGURU,12.851664,77.655936
KR PURAM,13.017439,77.696021
HIMAGIRI MEADOWS,12.96557,77.60625
ADARSH NAGAR,12.9712149,77.6849279
BHOGANHALLI,12.4205,76.19176
LAKSHMINARAYANA PURA,12.840514,77.631092
BEGUR ROAD,12.81734,77.628052
DEVANAHALLI,13.2483502,77.7134377
GOVINDARAJA NAGAR WARD,12.912895,77.520595
THARABANAHALLI,13.1024779,77.4804347
VARTHUR,12.95578,77.69147
BOMMANAHALLI,12.906454,77.629646
GUNJUR,12.922327,77.736038
DEVARACHIKKANAHALLI,12.891668,77.611523
DOUBLE ROAD,15.870364,74.504255
HEGDE NAGAR,13.0720352,77.6333905
HARALUR ROAD,12.946662,77.53009
HENNUR ROAD,13.126725,77.667383
KOTHANNUR,,
KALENA AGRAHARA,12.969086,77.554651
CHOLANAYAKANAHALLI,12.9609388,77.3596161
KAVAL BYRASANDRA,13.019702,77.607698
ISRO LAYOUT,12.8974283,77.5573828
KODANDA REDDY LAYOUT,17.692909,82.957851
GARUDACHAR PALYA,12.984061,77.721477
EPIP ZONE,12.97905,77.729039
DASANAPURA,13.0758896,77.4364795
KASAVANHALLI,,
SANJAY NAGAR,12.9578658,77.6958748
 MYSORE HIGHWAY,12.96557,77.60625
DOMLUR,12.9624669,77.6381958
SARJAPURA - ATTIBELE ROAD,12.861195,77.784936
DEVASTHANAGALU,,
T DASARAHALLI,13.04514135,77.51478942729403
YESHWANTHPUR,13.02183455,77.54768594156756
CHANDAPURA,12.865957,77.73278
GREEN VIEW LAYOUT,13.0113153,77.5446972
SHANTINIKETAN LAYOUT,12.9147113,77.6024933
PEENYA,13.036272,77.525487
NAGARBHAVI,12.9546741,77.5121724
JALAHALLI WEST,13.038586,77.520642
LAKSHMIAMMA GARDEN,12.96557,77.60625
BYATARAYANAPURA,13.06207355,77.59639164365345
RAMAMURTHY NAGAR,13.0120218,77.6777817
MALLESHWARAM,13.0027353,77.5703253
AKSHAYA NAGAR,13.0195427,77.6831272
SHAMPURA,13.0272035,77.6140682
KADUGODI,13.002864,77.756916
LB SHASTRI NAGAR,12.96557,77.60625
VAJARAHALLI,12.8775515,77.54477215915091
HORMAVU,13.0191961,77.6557203
VISHWAPRIYA LAYOUT,13.011885,77.544139
RAMASWAMY PALYA - KAMMANAHALLI MAIN ROAD,13.004946,77.637185
KUDLU GATE,12.96557,77.60625
8TH PHASE JP NAGAR,12.9165004,77.5922463
BOMMASANDRA INDUSTRIAL AREA,12.81774,77.68415
CHANDRA LAYOUT,12.922005,77.648683
ANANDAPURA,13.0239276,77.6923621
VISHVESHWARYA LAYOUT,13.011885,77.544139
KENGERI SATELLITE TOWN,12.9159785,77.48243125
BASAVANAPURA,12.843938,77.595945
DINNUR,12.92973,78.06192
KANNAMANGALA,13.2192,77.66292
 DEVARACHIKKANAHALLI,12.891668,77.611523
SANJEEVINI NAGAR,12.887209,77.680655
HULIMAVU,12.876323,77.602897
MAHALAKSHMI LAYOUT,13.008551,77.548728
YARANDAHALLI,12.96557,77.60625
HOSA ROAD,12.87065,77.652361
